Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
WM0,CO,01/01/2021 00:00,,mg m-3,P
WM0,CO,01/01/2021 00:15,,mg m-3,P
WM0,CO,01/01/2021 00:30,,mg m-3,P
WM0,CO,01/01/2021 00:45,,mg m-3,P
WM0,CO,01/01/2021 01:00,,mg m-3,P
WM0,CO,01/01/2021 01:15,,mg m-3,P
WM0,CO,01/01/2021 01:30,,mg m-3,P
WM0,CO,01/01/2021 01:45,,mg m-3,P
WM0,CO,01/01/2021 02:00,,mg m-3,P
WM0,CO,01/01/2021 02:15,,mg m-3,P
WM0,CO,01/01/2021 02:30,,mg m-3,P
WM0,CO,01/01/2021 02:45,,mg m-3,P
WM0,CO,01/01/2021 03:00,,mg m-3,P
WM0,CO,01/01/2021 03:15,,mg m-3,P
WM0,CO,01/01/2021 03:30,,mg m-3,P
WM0,CO,01/01/2021 03:45,,mg m-3,P
WM0,CO,01/01/2021 04:00,,mg m-3,P
WM0,CO,01/01/2021 04:15,,mg m-3,P
WM0,CO,01/01/2021 04:30,,mg m-3,P
WM0,CO,01/01/2021 04:45,,mg m-3,P
WM0,CO,01/01/2021 05:00,,mg m-3,P
WM0,CO,01/01/2021 05:15,,mg m-3,P
WM0,CO,01/01/2021 05:30,,mg m-3,P
WM0,CO,01/01/2021 05:45,,mg m-3,P
WM0,CO,01/01/2021 06:00,,mg m-3,P
WM0,CO,01/01/2021 06:15,,mg m-3,P
WM0,CO,01/01/2021 06:30,,mg m-3,P
WM0,CO,01/01/2021 06:45,,mg m-3,P
WM0,CO,01/01/2021 07:00,,mg m-3,P
WM0,CO,01/01/2021 07:15,,mg m-3,P
WM0,CO,01/01/2021 07:30,,mg m-3,P
WM0,CO,01/01/2021 07:45,,mg m-3,P
WM0,CO,01/01/2021 08:00,,mg m-3,P
WM0,CO,01/01/2021 08:15,,mg m-3,P
WM0,CO,01/01/2021 08:30,,mg m-3,P
WM0,CO,01/01/2021 08:45,,mg m-3,P
WM0,CO,01/01/2021 09:00,,mg m-3,P
WM0,CO,01/01/2021 09:15,,mg m-3,P
WM0,CO,01/01/2021 09:30,,mg m-3,P
WM0,CO,01/01/2021 09:45,,mg m-3,P
WM0,CO,01/01/2021 10:00,,mg m-3,P
WM0,CO,01/01/2021 10:15,,mg m-3,P
WM0,CO,01/01/2021 10:30,,mg m-3,P
WM0,CO,01/01/2021 10:45,,mg m-3,P
WM0,CO,01/01/2021 11:00,,mg m-3,P
WM0,CO,01/01/2021 11:15,,mg m-3,P
WM0,CO,01/01/2021 11:30,,mg m-3,P
WM0,CO,01/01/2021 11:45,,mg m-3,P
WM0,CO,01/01/2021 12:00,,mg m-3,P
WM0,CO,01/01/2021 12:15,,mg m-3,P
WM0,CO,01/01/2021 12:30,,mg m-3,P
WM0,CO,01/01/2021 12:45,,mg m-3,P
WM0,CO,01/01/2021 13:00,,mg m-3,P
WM0,CO,01/01/2021 13:15,,mg m-3,P
WM0,CO,01/01/2021 13:30,,mg m-3,P
WM0,CO,01/01/2021 13:45,,mg m-3,P
WM0,CO,01/01/2021 14:00,,mg m-3,P
